Modell,Parameter,Trainingszeit,Vorhersagezeit,Genauigkeit,Recall,Precision,F1 Score
Logistische Regression,"{'max_iter': 5000, 'solver': 'newton-cg'}",19.60894536972046,0.0059947967529296875,0.9135150868341904,0.9135150868341904,0.913771366216615,0.9125250786718159
k-NN,"{'leaf_size': 10, 'n_neighbors': 7}",0.024389982223510742,18.996373653411865,0.9318715436111381,0.9318715436111381,0.9322050929667818,0.9319984204272482
Entscheidungsbaum,"{'max_depth': 13, 'min_samples_leaf': 7, 'min_samples_split': 5}",3.8453025817871094,0.010054826736450195,0.9365091685262443,0.9365091685262443,0.937021525716831,0.9366798536479085
Extra Trees,"{'max_depth': 13, 'n_estimators': 200}",39.9379518032074,0.8216879367828369,0.918404967497817,0.918404967497817,0.9219605336398222,0.9166099663171975
Random Forest,"{'max_depth': 13, 'n_estimators': 200}",83.52692604064941,0.8151321411132812,0.9402347918890075,0.9402347918890075,0.9404428618345235,0.9403170704170732
GradientBoostingClassifier,"{'learning_rate': 0.2, 'n_estimators': 200}",356.3528323173523,0.20194411277770996,0.9418453478218687,0.9418453478218687,0.9419933947885498,0.9419066816107355
LSTM_3,,312.50183367729187,7.393116235733032,0.9436693509265548,0.9436693509265548,0.9442254056128405,0.9438386424483918
GRU_3,,255.38641786575317,5.973047256469727,0.9445231396138547,0.9445231396138547,0.944504913701851,0.9445137054763902
Autoencoder_11,,147.37764644622803,4.301625490188599,0.9430872222761231,0.9430872222761231,0.9437459041261943,0.9432788269548436
ConvolutionalAutoencoder_6,,138.50574851036072,3.287175178527832,0.9433782866013389,0.9433782866013389,0.9433170658020874,0.943343544701502
SparseAutoencoder_6,,172.92210984230042,4.1052327156066895,0.9422528378771708,0.9422528378771708,0.9422839326394217,0.9422676491423916
SAE_Class,,831.7959673404694,3.885988235473633,0.9426021150674299,0.9426021150674299,0.9432714716590986,0.9427968681455804
SAE_Decode,,831.7959673404694,3.885988235473633,0.5863975938682449,0.5863975938682449,0.49301073988440675,0.5091845242625943
